campus,entity,L1,L1_2021,L2,L3,persistence,L4,L5,n_wos,n_years_active,tau_campus,r_L1,r_L2,r_L3,r_L4,r_L5,n_ledgers,mean_rank,meii,meii_iqr,L6
8,D40,1501343.4337999998,1650061.8593933524,13966.599999999999,4362.0,0.8571428571428571,927065.3991999999,0.733359063344023,5089,7,977.7272,0.7058823529411765,0.47058823529411764,0.7058823529411765,0.7058823529411765,0.7058823529411765,5,0.6588235294117648,0.1052267283529313,0.0,2011238.1353933522
8,D50,5177538.2818,5702662.681916676,101593.31999999999,24152.571428571428,0.8571428571428571,2100091.5081,0.4903031336370121,28178,7,977.7272,0.8823529411764706,0.8823529411764706,1.0,0.7647058823529411,0.11764705882352941,5,0.7294117647058823,0.35195941886239035,0.11764705882352944,8329865.937116676
8,D90,867869.7203,966569.2387814987,26553.4,642.8571428571428,0.8571428571428571,740342.6129999999,1.1079515367317203,750,7,977.7272,0.47058823529411764,0.7058823529411765,0.4117647058823529,0.5882352941176471,0.9411764705882353,5,0.623529411764706,0.21045345670586255,0.23529411764705888,1653240.1627814989
8,E10,3267009.7126,3630690.965251653,50691.600000000006,5317.928571428572,0.8214285714285714,2339263.3205,0.7001501651174412,6474,7,977.7272,0.7647058823529411,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.5882352941176471,5,0.7529411764705881,0.09665692191267634,0.05882352941176472,4941575.741251653
8,E20,872538.7125,960442.7918660502,20714.18,3520.642857142857,0.8214285714285714,375579.288,0.6173233492551966,4286,7,977.7272,0.5294117647058824,0.5294117647058824,0.6470588235294118,0.47058823529411764,0.29411764705882354,5,0.49411764705882355,0.12887589588356851,0.05882352941176472,1496111.4866660503
8,F10,37545.4766,40958.9444323643,630.3399999999999,86.25,0.8214285714285714,26069.5809,1.291852175167186,105,7,977.7272,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.17647058823529413,1.0,5,0.2823529411764706,0.4041309185251216,0.11764705882352942,57259.53683236429
8,G20,9399503.638799999,10395333.342324357,102401.78,369.6428571428571,0.8214285714285714,9364612.7428,1.0112612976247737,450,7,977.7272,1.0,0.9411764705882353,0.35294117647058826,1.0,0.8823529411764706,5,0.8352941176470587,0.2740191693847557,0.11764705882352944,13043443.373124357
8,G30,68808.45169999999,76612.83772332937,899.84,80.75,0.6785714285714286,52649.765100000004,0.640572808830284,119,7,977.7272,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.23529411764705882,0.47058823529411764,5,0.21176470588235294,0.158932424542427,0.11764705882352941,99882.70012332937
8,G40,156196.438,170383.35098620056,1677.0800000000002,214.39285714285714,0.8214285714285714,121203.488,0.8415583757166428,261,7,977.7272,0.35294117647058826,0.29411764705882354,0.17647058823529413,0.35294117647058826,0.8235294117647058,5,0.4,0.24747863491720737,0.05882352941176472,213752.63978620057
9,B20,547841.02,606700.9061828993,7416.25,2167.857142857143,0.8928571428571429,266519.66000000003,0.438313310861969,2428,7,638.88,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.5714285714285714,5,0.4,0.09583148474999097,0.0,798485.1311828992
